rate,location,rest_type,cuisines
3.3,Jayanagar,Quick Bites,South Indian
3.5,Basavanagudi,"Bakery, Quick Bites",Bakery
0.0,Basavanagudi,Quick Bites,South Indian
0.0,Uttarahalli,Quick Bites,"North Indian, Chinese"
0.0,Jayanagar,Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food"
3.4,Uttarahalli,Quick Bites,Street Food
0.0,Vijay Nagar,Quick Bites,"North Indian, Chinese, Biryani"
3.7,Mysore Road,Quick Bites,"South Indian, North Indian"
2.9,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean"
3.7,Basavanagudi,Sweet Shop,"Mithai, Desserts"
3.5,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages"
3.7,Banashankari,Quick Bites,"Salad, Fast Food"
2.9,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese"
4.1,Jayanagar,Quick Bites,"Juices, Desserts"
3.2,Jayanagar,Cafe,"Cafe, Fast Food"
3.8,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food"
3.8,Banashankari,Quick Bites,"South Indian, North Indian, Chinese"
3.8,Banashankari,Casual Dining,"North Indian, Chinese"
3.8,Banashankari,Casual Dining,"North Indian, Chinese"
3.5,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese"
3.7,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean"
4.0,Jayanagar,Quick Bites,"South Indian, Beverages"
3.6,Banashankari,Quick Bites,"Fast Food, Rolls"
3.9,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food"
2.5,Basavanagudi,Quick Bites,Fast Food
3.4,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls"
3.2,Basavanagudi,Quick Bites,"Beverages, Fast Food"
3.9,Jayanagar,Dessert Parlor,Desserts
3.8,Jayanagar,Sweet Shop,"Desserts, Mithai"
4.1,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian"
3.2,Vijay Nagar,Quick Bites,Fast Food
3.6,Banashankari,Bakery,"Bakery, Desserts"
3.7,Banashankari,Quick Bites,"South Indian, Fast Food"
3.9,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra"
0.0,Jayanagar,Quick Bites,"South Indian, Chinese"
3.9,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices"
4.1,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai"
3.1,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food"
3.7,Uttarahalli,Casual Dining,"South Indian, North Indian"
4.2,Banashankari,Delivery,Pizza
4.0,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream"
4.3,Basavanagudi,Quick Bites,South Indian
3.7,Jayanagar,Casual Dining,"Chinese, Thai, Momos"
3.1,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese"
3.9,Basavanagudi,Quick Bites,"South Indian, Healthy Food"
3.3,Basavanagudi,Quick Bites,"Street Food, Fast Food"
0.0,Basavanagudi,Dessert Parlor,Beverages
4.3,Jayanagar,Casual Dining,South Indian
2.6,Jayanagar,Cafe,"Cafe, American, Pizza"
3.9,Basavanagudi,Quick Bites,"South Indian, Fast Food"
4.2,Basavanagudi,Quick Bites,South Indian
3.9,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian"
3.8,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages"
4.2,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
3.9,Jayanagar,Casual Dining,"North Indian, Chinese, Rolls"
3.6,Basavanagudi,Quick Bites,South Indian
3.6,Banashankari,Quick Bites,"South Indian, North Indian, Chinese"
3.6,Banashankari,Quick Bites,"South Indian, Street Food"
4.0,Banashankari,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab"
3.7,Kumaraswamy Layout,Quick Bites,"North Indian, Fast Food"
4.1,Basavanagudi,Cafe,"Cafe, Continental, Beverages, Desserts"
0.0,Kumaraswamy Layout,Casual Dining,Biryani
2.6,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Rolls, Biryani, Kebab"
3.4,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese, Beverages"
2.8,Banashankari,Casual Dining,"Pizza, Italian, Salad"
3.9,Kumaraswamy Layout,Quick Bites,"Fast Food, Chinese, Rolls"
3.8,Banashankari,Quick Bites,"Fast Food, Chinese"
4.0,Rajarajeshwari Nagar,Delivery,"Mexican, Italian"
4.2,Jayanagar,Casual Dining,"North Indian, Chinese"
4.0,Banashankari,Casual Dining,"North Indian, Chinese"
3.5,Jayanagar,Dessert Parlor,"Ice Cream, Desserts, Beverages"
3.0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food"
3.7,Jayanagar,Quick Bites,Fast Food
3.6,Basavanagudi,Quick Bites,"Juices, Fast Food"
3.1,Kumaraswamy Layout,Quick Bites,"South Indian, Chinese, Street Food"
3.9,Banashankari,Dessert Parlor,"Fast Food, Desserts, Ice Cream"
3.9,Jayanagar,Cafe,"Cafe, Fast Food, Chinese"
3.6,Jayanagar,Quick Bites,Biryani
3.4,Banashankari,Quick Bites,"North Indian, Chinese"
3.8,Banashankari,Quick Bites,Fast Food
3.6,Banashankari,Casual Dining,"North Indian, Chinese"
3.8,Basavanagudi,Dessert Parlor,"Desserts, Momos"
3.5,Jayanagar,Quick Bites,Fast Food
3.8,Kumaraswamy Layout,Cafe,"Cafe, Continental, Fast Food"
3.2,Banashankari,Sweet Shop,"Mithai, Street Food"
3.7,Jayanagar,Quick Bites,South Indian
3.8,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Fast Food"
4.1,Jayanagar,Cafe,"Cafe, Italian, Pizza"
4.1,Jayanagar,Beverage Shop,"Beverages, Tea"
3.4,Basavanagudi,Bar,"North Indian, Seafood, Chinese"
3.7,Jayanagar,Casual Dining,"Chinese, Thai, Continental, North Indian"
4.0,Jayanagar,Quick Bites,"South Indian, Fast Food"
3.1,Basavanagudi,Quick Bites,"South Indian, North Indian, Chinese"
